decoded_feature,chosen_task,reward_cond,decoded_fval_low,decoded_fval_high,fixed_fval,acc_t0,acc_t10,acc_t20,acc_t30,acc_t40,acc_t50
SF,SL,aNR,2.2,2.8,2.4,0.821,0.7989999999999999,0.755,0.7030000000000001,0.648,0.5860000000000001
SF,SL,aNR,2.2,2.8,2.5,0.831,0.798,0.769,0.712,0.648,0.606
SF,SL,aNR,2.2,2.8,2.6,0.835,0.792,0.748,0.6719999999999999,0.635,0.5780000000000001
SF,SL,aNR,2.2,2.8,2.7,0.819,0.775,0.741,0.65,0.595,0.5489999999999999
SF,SL,aNR,2.2,2.8,2.8,0.8240000000000001,0.794,0.74,0.6639999999999999,0.625,0.5569999999999999
SF,SL,aNR,2.2,2.8,2.9,0.835,0.8089999999999999,0.737,0.652,0.612,0.56
SF,SL,aNR,2.3,2.9,2.1,0.844,0.81,0.753,0.683,0.639,0.556
SF,SL,aNR,2.3,2.9,2.2,0.852,0.813,0.773,0.679,0.622,0.571
SF,SL,aNR,2.3,2.9,2.3,0.834,0.785,0.753,0.6799999999999999,0.636,0.579
SF,SL,aNR,2.3,2.9,2.4,0.845,0.8029999999999999,0.762,0.681,0.654,0.56
SF,SL,aNR,2.3,2.9,2.5,0.84,0.791,0.745,0.673,0.636,0.5569999999999999
SF,SL,aNR,2.3,2.9,2.6,0.81,0.772,0.736,0.677,0.616,0.5880000000000001
SF,SL,aNR,2.3,2.9,2.7,0.815,0.8,0.732,0.6599999999999999,0.621,0.585
SF,SL,aNR,2.3,2.9,2.8,0.833,0.768,0.719,0.625,0.577,0.554
SF,SL,aNR,2.3,2.9,2.9,0.842,0.804,0.751,0.671,0.635,0.5760000000000001
