decoded_feature,chosen_task,reward_cond,decoded_fval_low,decoded_fval_high,fixed_fval,acc_t0,acc_t10,acc_t20,acc_t30,acc_t40,acc_t50
SF,SL,aR,2.2,2.8,2.1,0.8260000000000001,0.779,0.692,0.622,0.5880000000000001,0.514
SF,SL,aR,2.2,2.8,2.2,0.79,0.728,0.654,0.598,0.552,0.526
SF,SL,aR,2.2,2.8,2.3,0.848,0.783,0.671,0.631,0.527,0.523
SF,SL,aR,2.2,2.8,2.4,0.8200000000000001,0.748,0.677,0.605,0.5329999999999999,0.51
SF,SL,aR,2.2,2.8,2.5,0.802,0.742,0.625,0.612,0.531,0.501
SF,SL,aR,2.2,2.8,2.6,0.835,0.756,0.628,0.5760000000000001,0.523,0.506
SF,SL,aR,2.2,2.8,2.7,0.848,0.767,0.618,0.5449999999999999,0.497,0.499
SF,SL,aR,2.2,2.8,2.8,0.83,0.769,0.661,0.589,0.514,0.519
SF,SL,aR,2.2,2.8,2.9,0.8200000000000001,0.748,0.611,0.5589999999999999,0.529,0.484
SF,SL,aR,2.3,2.9,2.1,0.831,0.76,0.679,0.618,0.567,0.546
SF,SL,aR,2.3,2.9,2.2,0.836,0.787,0.6890000000000001,0.64,0.5429999999999999,0.5329999999999999
SF,SL,aR,2.3,2.9,2.3,0.838,0.772,0.692,0.6599999999999999,0.55,0.515
SF,SL,aR,2.3,2.9,2.4,0.83,0.778,0.671,0.625,0.5469999999999999,0.5389999999999999
SF,SL,aR,2.3,2.9,2.5,0.8220000000000001,0.783,0.65,0.612,0.524,0.496
SF,SL,aR,2.3,2.9,2.6,0.832,0.775,0.622,0.5609999999999999,0.518,0.499
SF,SL,aR,2.3,2.9,2.7,0.844,0.791,0.661,0.607,0.554,0.525
SF,SL,aR,2.3,2.9,2.8,0.837,0.779,0.637,0.569,0.5409999999999999,0.498
SF,SL,aR,2.3,2.9,2.9,0.823,0.768,0.605,0.567,0.5,0.512
SF,SL,aNR,2.1,2.7,2.1,0.819,0.808,0.741,0.685,0.6,0.571
SF,SL,aNR,2.1,2.7,2.2,0.8240000000000001,0.7989999999999999,0.738,0.7110000000000001,0.624,0.552
SF,SL,aNR,2.1,2.7,2.3,0.83,0.798,0.746,0.6659999999999999,0.595,0.546
SF,SL,aNR,2.1,2.7,2.4,0.83,0.784,0.719,0.6859999999999999,0.591,0.575
SF,SL,aNR,2.1,2.7,2.5,0.817,0.789,0.732,0.646,0.608,0.5569999999999999
SF,SL,aNR,2.1,2.7,2.6,0.843,0.808,0.706,0.663,0.624,0.5720000000000001
SF,SL,aNR,2.1,2.7,2.7,0.836,0.782,0.7070000000000001,0.642,0.5800000000000001,0.529
SF,SL,aNR,2.1,2.7,2.8,0.83,0.7989999999999999,0.7090000000000001,0.639,0.591,0.552
SF,SL,aNR,2.1,2.7,2.9,0.831,0.806,0.712,0.655,0.5920000000000001,0.529
SF,SL,aNR,2.2,2.8,2.1,0.836,0.7989999999999999,0.755,0.688,0.638,0.5840000000000001
SF,SL,aNR,2.2,2.8,2.2,0.841,0.798,0.744,0.681,0.643,0.5529999999999999
SF,SL,aNR,2.2,2.8,2.3,0.8240000000000001,0.793,0.725,0.6739999999999999,0.618,0.562
SF,SL,aNR,2.2,2.8,2.4,0.825,0.8029999999999999,0.743,0.665,0.625,0.5780000000000001
SF,SL,aNR,2.2,2.8,2.5,0.81,0.798,0.7110000000000001,0.647,0.575,0.5680000000000001
SF,SL,aNR,2.2,2.8,2.6,0.8200000000000001,0.784,0.729,0.673,0.593,0.542
SF,SL,aNR,2.2,2.8,2.7,0.841,0.796,0.726,0.647,0.587,0.552
SF,SL,aNR,2.2,2.8,2.8,0.842,0.804,0.7030000000000001,0.651,0.587,0.554
SF,SL,aNR,2.2,2.8,2.9,0.8160000000000001,0.773,0.706,0.618,0.581,0.53
SF,SL,aNR,2.3,2.9,2.1,0.834,0.7969999999999999,0.737,0.6819999999999999,0.61,0.562
SF,SL,aNR,2.3,2.9,2.2,0.823,0.785,0.728,0.706,0.62,0.5800000000000001
SF,SL,aNR,2.3,2.9,2.3,0.8280000000000001,0.8009999999999999,0.719,0.675,0.635,0.571
SF,SL,aNR,2.3,2.9,2.4,0.83,0.8160000000000001,0.735,0.683,0.613,0.5369999999999999
SF,SL,aNR,2.3,2.9,2.5,0.8280000000000001,0.7969999999999999,0.7110000000000001,0.644,0.594,0.5529999999999999
SF,SL,aNR,2.3,2.9,2.6,0.813,0.777,0.683,0.6599999999999999,0.581,0.5329999999999999
SF,SL,aNR,2.3,2.9,2.7,0.834,0.804,0.726,0.6579999999999999,0.6,0.5329999999999999
SF,SL,aNR,2.3,2.9,2.8,0.83,0.787,0.704,0.6659999999999999,0.599,0.5349999999999999
SF,SL,aNR,2.3,2.9,2.9,0.796,0.769,0.677,0.643,0.5609999999999999,0.52
